clusID,sersicn,ID
2592446,0.998,2692612
2592446,0.703,2692613
2592446,0.855,2692614
2592446,1.314,2692617
2592446,1.045,2692618
2592446,0.936,2692622
2592446,1.19,2692623
2592446,1.119,2692626
2592446,1.588,2692627
2592446,1.172,2692628
2592446,1.003,2692630
2592446,1.17,2692631
2592446,1.45,2692636
2592446,1.07,2692637
2592446,0.807,2692638
2592446,0.801,2692639
2592446,1.279,2692643
2592446,0.73,2692650
2592446,1.233,2692655
2592446,0.683,2692657
2592446,1.106,2692662
2592446,0.519,2692671
2592446,-9.0,2692679
2592446,1.141,2692680
2592446,0.806,2692688
2592446,0.685,2692691
2592446,0.877,2692692
2592446,0.723,2692693
2592446,0.682,2692694
2592446,1.011,2692696
2592446,0.418,2692698
2592446,1.012,2692702
2592446,0.774,2692703
2592446,1.245,2692704
2592446,0.924,2692705
2592446,1.123,2692708
2592446,0.921,2692709
2592446,1.219,2692712
2592446,1.038,2692724
2592446,1.043,2692735
2592446,1.652,2692742
2592446,1.221,2692748
2592446,1.46,2692752
2592446,0.882,2692756
2592446,1.055,2692758
2592446,0.813,2692760
2592446,-9.0,2692764
2623756,1.668,2725572
2623756,0.837,2725577
2623756,-9.0,2725582
2623756,1.044,2725583
2623756,-9.0,2725584
2623756,1.437,2725585
2623756,1.616,2725586
2623756,1.287,2725588
2623756,-9.0,2725589
2623756,1.296,2725593
2623756,0.804,2725594
2623756,1.031,2725595
2623756,1.031,2725596
2623756,0.925,2725597
2623756,0.857,2725599
2623756,-9.0,2725601
2623756,1.27,2725602
2623756,1.944,2725603
2623756,1.06,2725606
2623756,-9.0,2725607
2623756,1.762,2725611
2623756,1.227,2725619
2623756,1.77,2725620
2623756,0.753,2725622
2623756,1.721,2725626
2623756,0.702,2725627
2623756,1.153,2725628
2623756,0.918,2725642
2623756,0.792,2725648
2623756,1.062,2725656
2623756,0.938,2725660
2623756,0.654,2725670
2623756,0.925,2725674
2623756,1.356,2725681
2623756,1.758,2725698
2623756,0.998,2725705
2734822,-9.0,2841846
2734822,0.772,2841854
2734822,1.002,2841856
2734822,1.729,2841858
2734822,0.96,2841861
2734822,-9.0,2841862
2734822,0.634,2841864
2734822,0.483,2841865
2734822,1.355,2841866
2734822,-9.0,2841867
2734822,1.413,2841868
2734822,1.213,2841869
2734822,1.06,2841871
2734822,1.709,2841873
2734822,0.977,2841875
2734822,1.052,2841877
2734822,0.814,2841881
2734822,1.253,2841882
2734822,0.961,2841884
2734822,0.76,2841885
2734822,1.387,2841889
2734822,0.963,2841891
2734822,0.719,2841892
2734822,-9.0,2841897
2734822,1.309,2841898
2734822,1.042,2841904
2734822,0.788,2841906
2734822,1.364,2841920
2734822,0.934,2841925
2734822,1.033,2841926
2734822,0.834,2841932
2734822,0.896,2841943
2734822,-9.0,2841945
2734822,1.128,2841949
2734822,1.336,2841950
2734822,2.867,2841952
2734822,0.805,2841955
2734822,0.904,2841959
2734822,5.246,2841960
2885792,1.603,2999524
2885792,1.603,2999527
2885792,0.946,2999528
2885792,-9.0,2999530
2885792,1.614,2999532
2885792,0.467,2999538
2885792,1.137,2999539
2885792,1.096,2999540
2885792,0.552,2999548
2885792,1.106,2999550
2885792,1.15,2999554
2885792,1.362,2999555
2885792,1.212,2999556
2885792,1.009,2999557
2885792,1.028,2999558
2885792,0.818,2999559
2885792,1.26,2999560
2885792,0.978,2999563
2885792,0.585,2999568
2885792,0.933,2999572
2885792,0.855,2999573
2885792,0.682,2999578
2885792,0.68,2999579
2885792,1.234,2999580
2885792,0.838,2999581
2885792,1.015,2999583
2885792,1.095,2999584
2885792,1.324,2999585
2885792,-9.0,2999587
2885792,1.117,2999588
2885792,0.899,2999590
2885792,1.546,2999591
2885792,0.678,2999596
2885792,0.794,2999598
2885792,0.794,2999601
2885792,1.028,2999602
2885792,-9.0,2999606
2885792,1.135,2999607
2885792,0.98,2999620
2885792,0.556,2999621
2885792,0.759,2999626
2885792,0.814,2999629
2885792,0.974,2999630
2885792,0.84,2999639
2885792,1.175,2999640
2885792,1.083,2999643
2885792,1.29,2999644
2885792,-9.0,2999646
2885792,1.121,2999647
2885792,0.694,2999648
2885792,0.803,2999652
2885792,0.832,2999662
2885792,1.499,2999669
2885792,0.963,2999670
2885792,1.407,2999674
2885792,0.604,2999677
2885792,1.058,2999701
2885792,0.473,2999704
2885792,1.141,2999725
2885792,1.383,2999727
2885792,0.683,2999743
2885792,0.759,2999748
2892837,0.947,3007213
2892837,0.552,3007216
2892837,1.136,3007221
2892837,0.79,3007222
2892837,1.175,3007225
2892837,1.063,3007226
2892837,-9.0,3007227
2892837,0.823,3007229
2892837,1.283,3007231
2892837,1.284,3007233
2892837,1.505,3007234
2892837,1.098,3007235
2892837,0.899,3007236
2892837,1.562,3007237
2892837,1.108,3007238
2892837,1.08,3007240
2892837,1.469,3007245
2892837,0.909,3007246
2892837,0.772,3007247
2892837,1.066,3007248
2892837,0.396,3007249
2892837,0.386,3007252
2892837,0.903,3007258
2892837,0.87,3007260
2892837,1.022,3007267
2892837,0.479,3007270
2892837,0.864,3007271
2892837,0.828,3007272
2892837,0.954,3007275
2892837,1.285,3007277
2892837,0.985,3007281
2892837,0.361,3007283
2892837,1.196,3007287
2892837,1.81,3007294
2892837,1.268,3007303
2892837,3.113,3007304
2892837,0.548,3007306
2892837,0.563,3007310
2892837,0.778,3007312
2892837,1.505,3007318
2937863,0.998,3054215
2937863,1.084,3054217
2937863,1.695,3054218
2937863,1.512,3054221
2937863,0.938,3054223
2937863,0.922,3054224
2937863,1.111,3054225
2937863,1.646,3054226
2937863,1.079,3054229
2937863,1.003,3054230
2937863,1.456,3054231
2937863,0.911,3054232
2937863,0.987,3054233
2937863,1.23,3054236
2937863,0.912,3054237
2937863,0.885,3054239
2937863,1.3,3054240
2937863,0.959,3054241
2937863,0.685,3054243
2937863,1.646,3054245
2937863,0.933,3054249
2937863,1.056,3054250
2937863,0.982,3054259
2937863,1.048,3054265
2937863,0.578,3054269
2937863,1.136,3054272
2937863,0.916,3054277
2937863,1.454,3054280
2937863,1.345,3054281
2937863,1.114,3054285
2937863,1.058,3054296
2937863,1.27,3054305
2937863,1.102,3054311
2944981,2.324,3061728
2944981,1.124,3061731
2944981,3.012,3061732
2944981,0.886,3061733
2944981,1.254,3061734
2944981,0.887,3061735
2944981,0.301,3061736
2944981,1.119,3061739
2944981,0.724,3061743
2944981,1.132,3061745
2944981,0.492,3061748
2944981,1.09,3061754
2944981,0.74,3061755
2944981,-9.0,3061756
2944981,0.825,3061761
2944981,0.829,3061762
2944981,1.046,3061766
2944981,0.843,3061768
2944981,1.375,3061772
2944981,1.051,3061773
2944981,1.019,3061776
2944981,1.252,3061777
2944981,1.632,3061778
2944981,1.005,3061779
2944981,-9.0,3061780
2944981,1.079,3061781
2944981,0.88,3061782
2944981,1.37,3061784
2944981,0.927,3061789
2944981,0.845,3061796
2944981,1.111,3061797
2944981,0.952,3061802
2944981,1.16,3061804
2944981,0.739,3061805
2944981,0.823,3061811
2944981,1.27,3061821
2944981,0.923,3061822
2944981,-9.0,3061825
2944981,1.149,3061829
2944981,1.093,3061839
2944981,0.746,3061850
2944981,0.814,3061851
2944981,1.223,3061858
2944981,1.12,3061864
2944981,-9.0,3061868
2944981,1.208,3061870
2944981,1.062,3061874
2944981,1.222,3061893
3016893,-9.0,3137206
3016893,3.086,3137207
3016893,2.643,3137209
3016893,0.876,3137212
3016893,0.564,3137218
3016893,-9.0,3137219
3016893,1.102,3137220
3016893,0.466,3137223
3016893,1.616,3137225
3016893,1.58,3137226
3016893,0.892,3137229
3016893,1.697,3137235
3016893,1.251,3137241
3016893,1.348,3137242
3016893,1.663,3137246
3016893,1.159,3137247
3016893,1.203,3137250
3016893,0.893,3137253
3016893,1.265,3137258
3016893,0.845,3137260
3016893,0.363,3137275
3016893,0.349,3137288
3016893,0.981,3137305
3069850,0.692,3192425
3069850,6.43,3192429
3069850,2.574,3192432
3069850,1.298,3192433
3069850,1.02,3192435
3069850,0.628,3192436
3069850,1.132,3192437
3069850,1.678,3192438
3069850,1.073,3192441
3069850,0.976,3192445
3069850,0.866,3192448
3069850,-9.0,3192454
3069850,0.885,3192455
3069850,1.056,3192463
3069850,1.129,3192465
3069850,1.367,3192481
3069850,1.011,3192482
3069850,1.119,3192487
3069850,1.06,3192492
3069850,0.87,3192502
3069850,2.453,3192504
3069850,1.327,3192508
3069850,1.727,3192515
3069850,1.327,3192519
3069850,0.846,3192525
3069850,0.937,3192527
3069850,1.579,3192528
3069850,1.477,3192532
3069850,1.179,3192539
3069850,1.016,3192540
3069850,1.556,3192545
3094112,0.647,3217862
3094112,0.777,3217867
3094112,1.084,3217871
3094112,1.978,3217873
3094112,0.67,3217877
3094112,1.009,3217878
3094112,0.747,3217882
3094112,0.957,3217883
3094112,1.952,3217884
3094112,0.851,3217887
3094112,0.858,3217888
3094112,1.732,3217889
3094112,0.46,3217892
3094112,1.594,3217893
3094112,1.888,3217894
3094112,0.906,3217896
3094112,1.32,3217897
3094112,0.903,3217901
3094112,1.082,3217904
3094112,1.516,3217909
3094112,0.757,3217929
3094112,-9.0,3217932
3094112,1.304,3217933
3094112,1.546,3217934
3094112,1.312,3217935
3094112,-9.0,3217937
3094112,-9.0,3217940
3094112,1.009,3217946
3094112,1.936,3217948
3094112,1.454,3217950
3094112,0.371,3217956
3094112,0.934,3217961
3094112,0.675,3217978
3094112,0.65,3217982
3094112,-9.0,3217988
3094112,1.986,3217991
3178107,-9.0,3305546
3178107,0.737,3305562
3178107,0.744,3305567
3178107,1.152,3305568
3178107,1.044,3305577
3178107,0.969,3305581
3178107,1.069,3305582
3178107,1.165,3305587
3178107,0.799,3305588
3178107,0.912,3305590
3178107,1.066,3305593
3178107,1.28,3305594
3178107,1.049,3305595
3178107,-9.0,3305598
3178107,1.541,3305602
3178107,1.213,3305607
3178107,0.895,3305609
3178107,0.698,3305610
3178107,1.554,3305611
3178107,0.44,3305613
3178107,1.258,3305617
3178107,1.313,3305618
3178107,0.7,3305620
3178107,1.534,3305621
3178107,1.411,3305624
3178107,1.092,3305633
3178107,-9.0,3305639
3178107,2.271,3305640
3178107,1.638,3305644
3178107,1.81,3305645
3178107,0.868,3305649
3178107,0.998,3305650
3178107,1.269,3305663
3178107,1.214,3305669
3178107,1.239,3305670
3178107,0.682,3305673
3178107,1.423,3305674
3178107,1.11,3305675
3178107,0.914,3305680
3178107,0.785,3305683
3178107,0.839,3305684
3178107,0.424,3305691
3178107,1.636,3305692
3178107,0.796,3305696
3178107,0.858,3305697
3178107,0.385,3305702
3178107,1.008,3305708
3178107,1.297,3305710
3178107,0.901,3305715
3178107,-0.546,3305717
3178107,0.897,3305730
3178107,1.727,3305732
3178107,0.759,3305734
3178107,1.324,3305736
3178107,1.181,3305743
3178107,1.283,3305749
3178107,1.198,3305753
3178107,-9.0,3305755
3178107,0.837,3305761
3178107,1.291,3305767
3178107,0.989,3305770
3178107,2.89,3305771
3178107,1.118,3305775
3178107,0.828,3305786
3178107,1.275,3305799
3178107,1.321,3305807
3178107,0.88,3305813
3200641,0.854,3329639
3200641,-9.0,3329640
3200641,-9.0,3329645
3200641,1.045,3329649
3200641,0.8,3329652
3200641,1.373,3329653
3200641,1.377,3329660
3200641,1.315,3329662
3200641,0.74,3329663
3200641,1.155,3329669
3200641,1.683,3329674
3200641,0.954,3329676
3200641,1.169,3329680
3200641,1.235,3329683
3200641,1.235,3329684
3200641,1.091,3329687
3200641,-9.0,3329695
3200641,1.59,3329696
3200641,1.625,3329700
3200641,1.237,3329701
3200641,1.256,3329702
3200641,1.378,3329703
3200641,0.911,3329715
3200641,1.335,3329723
3200641,0.984,3329726
3200641,1.079,3329740
3226680,2.113,3357107
3226680,0.585,3357109
3226680,-9.0,3357114
3226680,1.279,3357115
3226680,0.311,3357116
3226680,1.414,3357117
3226680,1.6,3357120
3226680,0.826,3357122
3226680,1.511,3357123
3226680,0.738,3357127
3226680,0.93,3357129
3226680,1.093,3357130
3226680,0.987,3357132
3226680,1.18,3357135
3226680,0.465,3357136
3226680,1.194,3357141
3226680,0.774,3357144
3226680,1.102,3357145
3226680,1.039,3357148
3226680,1.137,3357150
3226680,-9.0,3357151
3226680,0.474,3357152
3226680,0.801,3357153
3226680,1.289,3357163
3226680,0.846,3357167
3226680,1.269,3357168
3226680,1.754,3357171
3226680,1.096,3357181
3226680,1.071,3357182
3226680,0.73,3357188
3226680,1.213,3357189
3226680,1.241,3357192
3226680,0.622,3357193
3226680,-9.0,3357194
3226680,0.837,3357197
3226680,0.531,3357210
3226680,0.977,3357214
3226680,1.929,3357216
3226680,0.816,3357223
3226680,0.578,3357235
3259117,-9.0,3390895
3259117,1.284,3390896
3259117,1.135,3390901
3259117,0.553,3390903
3259117,0.961,3390906
3259117,1.49,3390907
3259117,1.088,3390908
3259117,0.574,3390910
3259117,-9.0,3390911
3259117,1.007,3390913
3259117,0.999,3390914
3259117,1.384,3390916
3259117,1.043,3390917
3259117,1.423,3390918
3259117,0.825,3390919
3259117,1.032,3390921
3259117,1.594,3390924
3259117,1.828,3390930
3259117,-9.0,3390931
3259117,0.904,3390932
3259117,1.323,3390934
3259117,0.674,3390936
3259117,0.993,3390939
3259117,0.739,3390940
3259117,0.883,3390953
3259117,1.194,3390973
3259117,0.969,3390976
3284456,6.043,3417542
3284456,7.18,3417545
3284456,0.628,3417549
3284456,-9.0,3417550
3284456,0.835,3417553
3284456,1.367,3417554
3284456,1.331,3417555
3284456,0.783,3417560
3284456,1.219,3417562
3284456,0.864,3417565
3284456,0.894,3417568
3284456,0.6,3417571
3284456,-9.0,3417574
3284456,0.987,3417576
3284456,-9.0,3417581
3284456,0.785,3417582
3284456,0.557,3417587
3284456,0.706,3417588
3284456,0.661,3417592
3284456,0.616,3417593
3284456,0.941,3417594
3284456,1.253,3417596
3284456,1.285,3417597
3284456,1.006,3417604
3284456,1.066,3417609
3284456,1.014,3417612
3284456,1.237,3417614
3284456,1.127,3417622
3284456,1.098,3417624
3284456,1.511,3417652
3355500,1.462,3492030
3355500,3.041,3492033
3355500,0.898,3492041
3355500,0.992,3492042
3355500,0.901,3492044
3355500,0.486,3492047
3355500,1.085,3492052
3355500,1.113,3492053
3355500,0.842,3492056
3355500,0.944,3492057
