HostHaloID,LastClus
984080,2002628
1291584,7265682
1382764,7045189
1498550,1827559
1737101,2507502
1761973,2623756
1796797,1664541
1910107,7156868
2186419,2227715
2438875,2199507
2469053,2071135
2665945,2290206
2692559,3094112
2768669,3689051
2988968,3069850
2999331,7157633
3016253,2937863
3040718,2734822
3105750,2013898
3160454,2885792
3163124,2944981
3189218,2246014
3207984,3540174
3248405,3016893
3290448,4465020
3307869,1808858
3316643,3284456
3322514,3178107
3385997,3811219
3442313,3929805
3479131,1983863
3564036,2892837
3661128,3259117
3712654,3929767
3765746,4147752
3869319,3672299
3891807,4827650
3979549,3748260
4073041,3700933
4085994,4289749
4094796,4560890
4135791,3882383
4149062,3744183
4173971,4658833
4190785,3359016
4279617,3651767
4287949,4068321
4292050,3200641
4311768,3226680
4422705,4063505
4432701,4415004
4463713,3933724
4496183,4309863
4616407,4226110
4651783,3945090
4661200,4966761
4668074,4622511
4703818,4899516
4831493,4328263
4869358,3355500
4911259,5493185
5035035,5044774
5052350,4083100
5069404,4968706
5099759,3929760
5100735,4481851
5103643,4901245
5110261,4481843
5128117,4040811
5166669,5548455
5232557,5358495
5286122,4465008
5371456,4195553
5398513,4838809
5420382,5049205
5442806,5816171
5484540,6163362
5614480,5573913
5632809,5033760
5665146,4549606
5696320,5375604
5753800,5520106
5757481,7256231
5843137,5715147
5881470,4477204
5902941,6324375
5921092,5409575
5932985,4714730
5934118,5265012
5976887,4921745
5983675,4658856
5984742,7132535
6054032,5753402
6064317,5208836
6076744,5699819
6178494,6296509
6225445,6143068
6327687,4617549
6353039,6550004
6397152,5871163
6436594,5259095
6561479,6300164
6564277,5638753
6570416,5028157
6574642,5957816
6588284,5960768
6595587,6515835
6673036,5462023
6743792,6348998
6771138,6898337
6851262,6732705
6902278,6619898
6953087,6921386
7041941,6702203
7203735,3889787
7228892,6234554
7230907,6490130
7277849,6904035
7311272,5332403
7352777,5634590
7390353,6300154
7473469,5979633
7487475,6432794
7488559,5884858
7491905,7265693
7508815,7050142
7520738,7241208
7520740,7265677
7559294,6919328
7569025,7265685
7631563,6975241
7649157,7265686
7661853,7055776
7704081,6981495
7718471,7076724
7724884,6955851
7726647,7179669
7745568,1561636
7761099,6379898
7789742,7098679
7789775,7231399
7789801,6907470
7799653,6957056
7815805,7033920
7850675,7255539
7887047,7265674
7902294,7142193
7910748,7218678
7931869,1954735
7931874,7265678
7931878,1847383
7931885,2290169
7931890,7257320
7931896,7265702
7931897,7265676
7931899,7265688
7931900,7265679
7931901,7265673
7931902,7265713
7931904,7265692
7931909,5011121
7931913,2592446
7931915,7265698
7931917,7265711
7931918,7265700
7931922,7265710
7931924,4081915
7931925,7265712
7931927,7265709
7931928,7265701
