HostHaloID,LastClus
415409,3929760
471124,5957816
624675,5028157
672985,5634590
805854,7218678
817361,7179669
821766,4921745
821788,7265673
894257,4481851
1018397,2002628
1030664,7265677
1248245,3945090
1355818,2246014
1387694,4901245
1391412,7265710
1449653,5332403
1488222,5548455
1520736,1827559
1552370,7265682
1562140,3744183
1565708,3672299
1650818,6324375
1658399,1847383
1694650,5033760
1760367,7265698
1901431,6975241
2007828,7033920
2013368,3178107
2018571,5358495
2027477,4083100
2231392,4899516
2271788,3748260
2291150,7265678
2291153,3889787
2359211,2592446
2424585,4968706
2433052,2507502
2453978,7098679
2492116,6898337
2609913,7265700
2618170,6234554
2654274,3359016
2703273,2071135
2732802,7055776
2783317,5044774
2791651,4068321
2990748,6296509
3044475,6957056
3054709,3689051
3137302,6702203
3156269,7265685
3201480,7265713
3295648,7265702
3382460,3651767
3397110,6348998
3407635,3094112
3415115,4147752
3511747,4465008
3516022,3226680
3616005,5960768
3630387,6732705
3632579,7265692
3718982,6515835
3772597,4081915
3773709,1561636
3824059,7265674
3835916,2937863
3849375,4549606
3857769,4560890
4021651,3811219
4072576,6955851
4089065,7265693
4181349,4195553
4183646,5493185
4323838,7132535
4328929,4622511
4352506,7050142
4394825,7241208
4474892,7265688
4500246,5011121
4620282,6904035
4663788,6907470
4738324,5265012
4738329,7142193
4739193,3933724
4742169,6921386
4816319,3284456
4834722,6379898
4845695,7255539
4852075,3929805
4861755,4617549
4870647,2199507
4966289,4714730
4966319,6919328
4974104,7231399
5069633,6619898
5095719,4309863
5208745,7257320
5407488,4477204
5443552,6163362
5445713,6550004
5451668,6300154
5580373,3700933
5597628,3540174
5619566,7265711
5741486,2734822
5852846,6300164
5856261,6143068
5868103,4040811
5936690,4827650
5965228,3882383
5995486,5259095
6043769,7265712
6060444,5462023
6060672,7265709
6081014,4658856
6091358,5049205
6150360,4063505
6175180,2885792
6325305,4966761
6338070,7045189
6371866,5409575
6409444,3200641
6412722,2623756
6420819,3069850
6440985,6981495
6444619,7265701
6449539,7265708
6524568,6490130
6609247,2290169
6674971,2892837
6712575,4289749
6778672,7256231
6814547,4481843
6818227,5573913
6910739,7157633
6911112,2290206
6912679,5884858
6915669,3259117
6927823,7076724
6963038,2013898
6978896,2944981
7001478,5979633
7012250,1983863
7019687,5208836
7119866,5753402
7122155,7156868
7134308,4658833
7163049,1954735
7209265,5871163
7222434,5699819
7230906,4226110
7232605,4415004
7237602,4465020
7337734,7265686
7360760,3355500
7375988,4328263
7386093,5375604
7389303,5638753
7420882,6432794
7425857,3016893
7430774,2227715
7434823,5520106
