HostHaloID,LastClus
260096,4328263
307988,7265673
411275,7156868
497880,3929760
511590,4901245
548553,7033920
550840,2013898
582327,4481851
684628,5548455
757338,7265710
765849,5634590
795304,3945090
829911,2246014
879383,5033760
883050,1847383
900879,3744183
902902,4968706
921573,7265698
953136,1664541
1000357,2592446
1028697,5332403
1117577,6975241
1138637,7265713
1206143,3748260
1363936,4068321
1415607,2071135
1419221,7098679
1432158,6957056
1442623,6898337
1452891,5358495
1583565,7055776
1661349,4147752
1695096,6515835
1761460,5044774
1841238,4465008
1908025,4560890
1911580,6732705
1913987,5960768
1998632,4081915
1999424,7265693
2137972,5265012
2139888,7050142
2236016,5011121
2266470,4195553
2270599,7132535
2322652,7265688
2347021,7265709
2354911,7241208
2425525,3929805
2505343,6904035
2508549,3651767
2548531,4622511
2639854,4549606
2656946,3882383
2710219,6907470
2750435,7142193
2750929,6163362
2807718,3284456
2843818,3540174
2847029,4714730
2901899,7231399
2949000,6619898
3029148,7256231
3029186,5884858
3098419,3700933
3196194,7045189
3231581,6143068
3233813,5049205
3244053,5409575
3284932,6981495
3318252,7265701
3369806,4063505
3372729,2885792
3406638,4827650
3468698,7265712
3490060,5573913
3499520,1954735
3594946,6432794
3631968,5753402
3673540,2944981
3747805,2623756
3776795,4658833
3790207,3200641
3794852,5028157
3803965,5871163
3804109,5699819
3814337,4226110
3846540,4481843
3915630,3016893
3920469,5520106
