HostHaloID,LastClus
327101,4328263
413955,3929760
492837,2013898
516539,7265673
523151,7157633
556267,7156868
618534,4901245
703426,5979633
713168,4481851
738160,7265710
750711,5634590
757441,3672299
795308,3945090
807930,5548455
807986,6324375
814274,7179669
853699,2246014
959472,7033920
963691,7265698
1076687,1847383
1085594,5033760
1102321,3744183
1239524,5332403
1278778,3178107
1321075,3748260
1361967,3889787
1374120,2592446
1388434,6975241
1422307,4968706
1510404,7265713
1569086,7098679
1569117,6702203
1597300,5358495
1659826,6234554
1674672,4068321
1706461,7265685
1712023,2071135
1753520,7055776
1758973,6898337
1781401,6957056
1855703,3359016
1951930,5044774
2039407,4147752
2174283,3094112
2209128,4081915
2219319,6515835
2228625,4465008
2288471,4560890
2298977,7265674
2317669,7265692
2333503,6732705
2424652,6348998
2481616,7265693
2483102,5960768
2492601,3651767
2533130,5493185
2568225,3811219
2595962,7050142
2598525,7265702
2622955,2937863
2716339,4195553
2741035,5011121
2755662,4622511
2781787,7132535
2819869,7265688
2856485,7241208
2885005,6921386
2894852,5265012
2922306,4549606
2962903,3929805
2987253,6907470
3030627,7142193
3091762,3284456
3106546,1808858
3111974,6904035
3206188,4714730
3257643,7265711
3267321,4617549
3323322,6163362
3335538,6550004
3351186,7231399
3453918,6300154
3460713,6300164
3529211,4477204
3531174,3882383
3546372,6619898
3574423,3540174
3756312,3700933
3810588,2734822
3828491,7256231
3837445,5884858
3858748,7265709
3873925,5462023
3879872,6143068
3884696,5409575
3914127,2885792
3919175,3069850
3924349,7265708
3951104,4827650
3986669,6981495
4022188,7265712
4089511,2290169
4089513,4966761
4112304,5049205
4130212,5259095
4169350,6490130
4181145,7045189
4186645,4658856
4213085,4063505
4230819,5573913
4245048,2623756
4309851,4289749
4352134,6432794
4388362,1954735
4407151,7265701
4484588,2944981
4498372,1983863
4503676,5208836
4558142,5753402
4563871,4415004
4591479,4658833
4595373,4226110
4601021,3200641
4606476,5028157
4619108,5871163
4627381,5699819
4673911,4481843
4692832,7265686
4725288,5638753
4755379,3016893
4759601,5520106
