HostHaloID,LastClus
580348,7265678
688001,2002628
1042745,1827559
1126909,7265682
1367877,2507502
1433750,1664541
1443932,3689051
1589096,7045189
1629977,7156868
1657958,2623756
1775565,7157633
1886079,7265708
1938978,3094112
1992554,2227715
2002164,5011121
2039882,2944981
2089367,2290206
2130256,2885792
2134974,2071135
2249333,3178107
2345234,2199507
2403838,3069850
2426958,2246014
2469951,3929805
2527771,2937863
2534041,3540174
2780006,3882383
2841017,4465020
2859380,3259117
2866479,3929767
2909621,4226110
3122617,4827650
3180678,4068321
3194867,3284456
3200033,4147752
3200038,3672299
3203088,4658833
3225780,3016893
3226124,3811219
3392234,3780410
3400387,5884858
3400408,2013898
3400442,2734822
3421416,4415004
3538792,3700933
3589073,2892837
3607559,4560890
3646199,4289749
3774891,4968706
3777281,3200641
3818745,5049205
3828430,4966761
3889895,3933724
3965289,1808858
3970324,1983863
3975605,4063505
3979536,3744183
3989289,4622511
4035362,4328263
4101366,5753402
4131021,5493185
4181418,7132535
4219820,3359016
4226294,4838809
4234508,4195553
4241243,3748260
4254310,4309863
4329646,3945090
4390855,4899516
4395914,4465008
4406575,4901245
4420439,5044774
4462848,4481851
4527850,5409575
4636898,5548455
4646157,5816171
4681322,6324375
4704435,7256231
4714876,5715147
4725590,3651767
4743525,6921386
4798730,3355500
4821179,6296509
4862443,6163362
4881942,7265710
4905671,5375604
4937202,4714730
4947641,5699819
4978439,4481843
5123647,7265712
5126983,5573913
5205640,5033760
5225894,4040811
5230864,6550004
5243776,6898337
5356953,5520106
5380601,3929760
5392461,4083100
5395752,6300164
5484597,5358495
5521898,6702203
5648836,6515835
5689668,5208836
5695854,5265012
5798731,5871163
5879501,6143068
5928182,4617549
5957163,5960768
5965412,5332403
5969485,5638753
6026011,7265686
6032215,7033920
6047290,4658856
6062316,4921745
6067214,6957056
6067243,4477204
6068361,6732705
6126144,4549606
6306129,7265677
6325243,5957816
6327514,7265685
6349775,3889787
6387613,6348998
6411678,5028157
6481049,5462023
6566008,6490130
6616879,7265679
6638305,7050142
6639964,6619898
6659200,6234554
6783959,6919328
6803818,7231399
6852858,7265693
6860675,6904035
6890510,5259095
6906106,6907470
6922406,7265674
6945797,7241208
6969385,6432794
7015122,5979633
7060166,7055776
7061952,7179669
7065386,7076724
7068292,6955851
7077787,6379898
7078506,7098679
7086413,6981495
7097143,6975241
7101364,5634590
7123825,7265692
7204724,7265713
7212406,7255539
7240420,2592446
7242156,1954735
7264021,7218678
7265553,7142193
7279057,7265702
7303729,7265673
7322790,7265676
7322791,1847383
7322794,2290169
7322803,7257320
7322813,7265688
7322815,6300154
7322819,7265701
7322821,7265711
7322822,7265700
7322828,7265698
7322830,4081915
7322833,7265709
