HostHaloID,LastClus
628314,2002628
688239,5634590
769653,7265678
989197,3689051
1008111,7265708
1102285,7265682
1102467,1827559
1114740,5979633
1186346,4465020
1404869,7045189
1424170,5011121
1469495,7156868
1507661,7265702
1588029,2507502
1653033,2623756
1729055,3178107
1743425,3094112
1789838,3929805
1816396,5884858
1854107,2944981
1953705,3069850
2003216,2885792
2009967,2227715
2136758,2071135
2168160,4827650
2212399,2290206
2301447,4226110
2519865,2199507
2562946,3540174
2570693,3882383
2603190,7157633
2623134,3929767
2689210,3259117
2753520,5548455
2796229,3811219
2820070,2937863
2883533,2246014
2902566,4068321
2932184,4658833
3001123,4147752
3054514,3672299
3288209,4415004
3336928,3016893
3336948,3200641
3369385,4309863
3376628,4901245
3391560,2734822
3426639,3284456
3444928,4560890
3451518,4838809
3459266,4968706
3471500,3780410
3574229,5049205
3602460,5753402
3608296,3748260
3614814,4289749
3669746,3933724
3678741,4622511
3693329,3700933
3703680,4966761
3749184,2892837
3767772,7256231
3875631,7132535
3962395,2013898
3974479,3226680
3974623,4195553
3999111,3744183
4038798,3945090
4091842,5409575
4185335,4063505
4242139,5493185
4255068,7265712
4382030,7265710
4423396,4899516
4427561,4328263
4433546,3651767
4433565,4465008
4511284,6296509
4551897,4481851
4587494,6324375
4592851,5044774
4592867,5375604
4715929,6921386
4829622,3359016
4926328,1808858
4926558,5699819
4935120,1983863
4935862,6163362
5002448,4481843
5033643,6550004
5074581,7265686
5094242,6702203
5095997,6515835
5109946,5520106
5130799,4714730
5175492,5208836
5228848,5028157
5277722,5573913
5320580,6300164
5323100,5033760
5365703,3355500
5441674,5265012
5528026,7265677
5529598,5960768
5554699,3929760
5556885,5332403
5617016,6143068
5675932,6898337
5677063,4040811
5678529,7050142
5847002,5358495
5884537,5871163
5947819,7033920
5951703,6732705
5980936,7265685
5984101,7265711
5998126,6957056
5998127,4477204
6014849,6348998
6082940,4083100
6091415,3889787
6153054,5462023
6401862,5638753
6412987,4617549
6416576,5957816
6452831,7265693
6460389,7241208
6498674,6432794
6518685,4549606
6559437,4921745
6587016,7265713
6673217,6919328
6684738,4658856
6718189,7255539
6787980,7265679
6793443,6904035
6849062,6619898
6897596,7231399
6928447,6234554
6953503,7265709
6985354,7265692
7004457,7265700
7085459,7265674
7122697,6955851
7142745,1561636
7170373,5259095
7176059,7179669
7192928,6975241
7214949,6379898
7216349,6981495
7239636,7055776
7256883,7076724
7263121,7098679
7301609,2290169
7364041,7142193
7369927,1954735
7379616,2592446
7419252,7218678
7432177,1847383
7448460,6490130
7457937,7257320
7469172,7265673
7494571,6907470
7510740,7265688
7510743,6300154
7510747,7265701
7510751,7265698
7510753,4081915
