HostHaloID,LastClus
291681,4328263
329842,7265673
370599,5208836
537738,4901245
564507,7156868
565970,7033920
615360,2013898
631365,7265710
633801,4481851
707552,3945090
718029,5548455
755199,2246014
806919,5634590
944177,4968706
946968,1847383
958484,5033760
974062,3744183
983582,7265698
1125922,3178107
1171580,1664541
1190438,3748260
1215104,3889787
1217534,2592446
1239433,6975241
1242207,5332403
1300596,4899516
1423980,6898337
1469263,4068321
1473156,6234554
1503893,7265713
1507414,6957056
1516161,7098679
1531423,2071135
1554314,5358495
1565744,7055776
1808985,4147752
1861031,4465008
1880403,4081915
1898382,5044774
1965324,6515835
2053631,4560890
2053700,7265692
2059250,6348998
2072538,6732705
2215959,5960768
2257939,5493185
2287145,3811219
2297045,5265012
2309572,7050142
2319592,2937863
2393070,4195553
2424476,3651767
2442086,5011121
2463748,7132535
2506723,7265688
2529982,7241208
2592554,4622511
2635616,3929805
2641113,7265693
2649618,6907470
2664676,7265709
2701180,6921386
2712842,4549606
2717210,6904035
2838348,7142193
2878305,4617549
2949910,6163362
2955740,6550004
2997284,3882383
3008078,6919328
3051300,3540174
3089725,4714730
3095394,6300154
3211553,4827650
3266169,5884858
3276179,4477204
3286428,6619898
3344524,3700933
3370966,5462023
3412926,7256231
3436949,2290169
3441612,7045189
3486115,6143068
3490279,5409575
3498213,5049205
3529036,2734822
3565372,6981495
3589077,7265701
3634778,4063505
3652342,2885792
3707441,7265712
3769374,5573913
3778000,3200641
3779003,2623756
3807051,5259095
3849798,1954735
3878194,6432794
3906255,5753402
3966711,2944981
4061800,4415004
4075081,4658833
4090046,4226110
4108119,5028157
4110189,5699819
4113127,5871163
4158657,4481843
4208487,5638753
4231038,3016893
4240157,5520106
