HostHaloID,LastClus
1506391,4481851
1681009,7265682
1864935,2199507
1896580,7055776
2279725,5033760
2373829,4328263
2520891,6379898
2528462,3748260
2542202,1664541
2602087,3284456
2612576,3929760
2654998,7265678
2746384,4921745
2758496,2937863
2843654,4465008
2871773,3200641
2949909,7265685
3006905,1954735
3010106,5265012
3146563,5520106
3199530,1758257
3207807,7265676
3227420,2892837
3242034,5409575
3394088,3016893
3429747,3882383
3550097,2623756
3590274,4068321
3711483,1561636
3715125,4617549
3861879,5960768
3888049,5011121
3943925,3811219
3995028,2013898
4269067,1847383
4278927,5957816
4294206,5375604
4297745,5493185
4325891,7265679
4362495,7157633
4364178,3094112
4377431,7265677
4400140,2734822
4416514,4415004
4437722,6975241
4582128,5699819
4643996,5259095
4658732,6163362
4660454,6702203
4829898,4481843
4843893,2290169
4859858,3069850
4865486,3178107
5000127,7265686
5066699,2290206
5081140,3355500
5110216,5871163
5141173,4477204
5223706,2885792
5315600,5208836
5501094,4195553
5508545,3933724
5508564,6515835
5568664,4083100
5622117,4966761
5638571,6300164
5640604,5358495
5664012,7265692
5685659,5028157
5754997,5715147
5836154,6907470
5856441,4658856
5859041,5573913
5886152,5044774
5920453,2592446
5930756,3929805
5953598,4465020
5971965,5049205
5975196,4901245
6027940,7142193
6045749,3259117
6151617,6732705
6183563,6919328
6251022,5979633
6288943,7265673
6317660,6619898
6424260,7265688
6554642,5816171
6588677,7218678
6628020,2227715
6635304,4838809
6745352,4147752
6857221,6143068
6897242,3945090
6908760,4622511
6918749,3540174
6936928,3226680
6954489,3359016
6976706,4714730
6984651,5634590
6992667,4549606
6992729,3651767
7001297,7076724
7014859,6955851
7034316,4658833
7044801,4899516
7048295,3689051
7056503,4040811
7106567,3889787
7112629,3929767
7115136,1808858
7139500,6981495
7152424,3700933
7158544,7045189
7163045,1983863
7168742,2002628
7206332,7156868
7215155,7256231
7232743,6550004
7236899,2246014
7262255,6904035
7284184,7098679
7305305,1827559
7321106,6324375
7330252,4289749
7368668,3744183
7376112,7231399
7400261,2944981
7409044,4309863
7418839,5462023
7433724,7241208
7437293,2507502
7454920,4560890
7458260,7265700
7469130,6234554
7472709,6957056
7475215,6490130
7490523,4968706
7500166,7255539
7507418,7265674
7553543,7033920
7561003,6300154
7570102,6296509
7570929,7257320
7570944,7050142
7570945,7265702
7570946,7179669
7570947,5638753
7570948,6348998
7570949,6898337
7570951,2071135
7570952,3672299
7570955,4063505
7570956,5332403
7570959,6432794
7570960,7265693
7570962,5753402
7570964,7265713
7570966,6921386
7570969,4081915
7570970,4226110
7570971,7265698
7570972,5548455
7570973,4827650
7570977,7265711
7570980,7132535
7570981,7265701
7570982,5884858
7570985,7265710
7570987,7265712
7570988,7265709
