HostHaloID,LastClus
612907,7098679
641716,2002628
763612,7265678
898457,1827559
1074613,3689051
1102432,7265682
1122918,5979633
1225840,7265708
1315915,7265702
1323082,4465020
1337242,1664541
1421990,2507502
1466670,7156868
1471639,5011121
1591359,7045189
1644427,2623756
1745457,3094112
1771668,3929805
1952292,3069850
1978881,3178107
2000767,2944981
2003706,2227715
2029798,2885792
2102078,5884858
2153082,2071135
2242271,2290206
2432024,7157633
2436013,3540174
2456618,4226110
2490099,4827650
2513909,2199507
2541333,3882383
2635397,3259117
2644850,3929767
2699185,2246014
2779079,3811219
2900323,4068321
2941973,4658833
3004191,4147752
3037381,5548455
3049471,3016893
3080375,3672299
3238304,2937863
3323290,4415004
3333244,3200641
3376169,4309863
3395444,2734822
3415921,4901245
3424256,4289749
3435537,4968706
3469576,4560890
3485580,3780410
3545278,5753402
3579203,5049205
3605284,3748260
3677436,3284456
3699841,3700933
3734495,4966761
3755788,2892837
3762002,2013898
3895644,4838809
3896425,7132535
3939860,3933724
4027119,4622511
4048864,3945090
4070799,4195553
4072518,5493185
4143823,7256231
4213075,4063505
4214678,3744183
4232582,3651767
4282679,4328263
4378860,5409575
4389990,5715147
4429798,4465008
4461394,4899516
4529891,6296509
4557414,4481851
4594486,6324375
4605841,7265710
4632445,5375604
4651881,5044774
4688172,6921386
4699094,3359016
4736254,7265712
4764897,1983863
4797337,1808858
4939001,5699819
4958467,6163362
4995692,4714730
5048627,4481843
5095948,6515835
5154768,5520106
5162972,6702203
5185537,6550004
5253572,5028157
5261937,5573913
5318554,5033760
5327819,6300164
5372073,7265686
5376505,3355500
5445781,3929760
5492525,5265012
5541857,4040811
5557088,6898337
5636304,5208836
5690844,5871163
5716168,6143068
5749445,5332403
5771067,7050142
5773909,5960768
5847380,5358495
5909202,4083100
5965675,7033920
5995213,6732705
6026418,5462023
6026436,6348998
6029996,7265677
6051283,3889787
6282090,6957056
6294368,4477204
6298653,7265685
6303059,5638753
6339503,7265711
6363266,4549606
6387048,4921745
6396628,4617549
6424257,5957816
6451250,7241208
6503607,7265693
6515059,4658856
6687735,6919328
6718310,6432794
6771851,7265679
6826575,6904035
6862227,6490130
6865606,6619898
6915174,7231399
6971611,6234554
7054665,7265700
7089927,6907470
7093794,7255539
7099607,7265674
7115087,7265692
7120603,7265713
7151927,7179669
7152189,1561636
7170744,6975241
7181685,5259095
7185861,6955851
7195644,7076724
7221915,6379898
7228246,6981495
7247231,7055776
7253013,7142193
7282227,5634590
7314933,2290169
7372247,1954735
7397539,2592446
7431984,7265709
7455772,1847383
7459673,7218678
7466105,7265673
7490560,7257320
7516902,7265688
7516903,7265701
7516904,6300154
7516915,7265698
7516917,4081915
