HostHaloID,LastClus
297781,2227715
410265,2013898
411727,3929760
520171,5957816
521639,5028157
546695,7218678
676333,5634590
778185,7156868
815114,7179669
815193,7265673
836353,4921745
897188,4481851
944745,7265677
1095316,2246014
1207039,4901245
1237045,2002628
1243200,3945090
1450489,5332403
1473387,3672299
1485073,5548455
1507882,1827559
1533650,7033920
1544328,7265682
1551540,3744183
1627343,7265710
1627387,1847383
1634412,6324375
1648262,7265698
1690221,5033760
1895307,6975241
1995007,3178107
2012744,5358495
2250098,4083100
2260472,4899516
2289728,7265678
2304199,3889787
2373153,2592446
2415228,4968706
2428141,2507502
2449342,7098679
2470702,3748260
2471566,6898337
2533728,1664541
2561231,7265700
2630763,2071135
2643021,6234554
2686303,3359016
2702518,6702203
2722981,7055776
2724705,6296509
2743121,4415004
2767873,5044774
2785012,4068321
3018031,6957056
3028504,3689051
3070922,3651767
3150379,7265685
3232974,7265713
3267940,7265702
3383960,4147752
3385526,6348998
3395976,3094112
3476360,6515835
3493783,4081915
3506406,3226680
3611469,7265692
3636530,5960768
3639296,6732705
3768047,4465008
3780612,4549606
3807565,2937863
3813527,7265674
3840128,4560890
3970425,3811219
4050610,6955851
4118797,1808858
4137527,4195553
4164759,5493185
4282203,7050142
4301521,4622511
4323398,7132535
4422497,6907470
4475617,7142193
4485785,7241208
4486035,5011121
4595920,6904035
4642736,7265693
4700549,3933724
4723012,6921386
4731865,7255539
4732904,5265012
4801468,7265709
4808715,3284456
4822137,6379898
4842368,4617549
4871760,3929805
4945235,7231399
4953577,2199507
5004360,4714730
5015941,6919328
5054888,6619898
5067638,4309863
5092523,7257320
5345999,6300154
5426292,6163362
5438809,6550004
5563088,7265711
5575369,3700933
5589839,4477204
5688837,7265688
5806006,3540174
5826501,6143068
5879968,5462023
5900606,3882383
5926667,4827650
5942460,2734822
6022139,5259095
6051649,6300164
6071804,7265712
6123680,5049205
6137610,4063505
6138636,2885792
6156267,7265708
6265303,6490130
6286068,7045189
6286103,4658856
6368953,5409575
6374817,3069850
6378934,2623756
6392496,3200641
6392532,7265701
6452462,6981495
6555158,2290169
6632137,7076724
6648341,2892837
6680426,4289749
6777110,4481843
6777120,5573913
6788615,7256231
6845487,4966761
6878511,2290206
6880779,3259117
6881811,5884858
6882957,7157633
6947111,2944981
6973440,5979633
6980937,1983863
6988870,5208836
7089606,5753402
7106677,4658833
7132022,1954735
7175760,5871163
7192777,5699819
7200458,4226110
7208182,4465020
7303364,7265686
7328203,3355500
7343653,4328263
7349454,5638753
7351100,5375604
7384092,6432794
7391684,3016893
7399663,5520106
