HostHaloID,LastClus
241042,7265710
269093,7156868
345300,4901245
553770,3945090
565209,7265698
630316,5634590
647930,1847383
665082,5033760
667706,4968706
715426,1664541
734095,2592446
820365,6975241
865407,5332403
968801,6898337
1031993,4068321
1134444,6957056
1238631,6515835
1276508,4081915
1305249,5044774
1392179,7265693
1412825,4560890
1562424,5265012
1633787,4195553
1760328,3651767
1888607,4622511
1910266,6907470
1958221,6904035
1984814,7142193
2029956,6163362
2067215,4549606
2156255,7265709
2344742,5462023
2367619,7045189
2385910,6143068
2391011,4827650
2439367,6981495
2718135,2944981
2806453,4226110
2853911,4481843
2854231,5548455
2912634,5520106
