HostHaloID,LastClus
244768,7265710
306114,7156868
376196,4901245
500443,3945090
650366,7265698
696287,1847383
703981,5634590
767004,1664541
787139,5033760
840791,4968706
890621,2592446
890635,6975241
892195,5332403
1087397,4068321
1124137,2071135
1153821,7055776
1238175,6957056
1249070,5358495
1332113,4147752
1337522,6898337
1348339,6515835
1389058,4081915
1491698,4465008
1507669,7265693
1519965,5044774
1525554,6732705
1533361,4560890
1639596,4195553
1782136,5265012
1958252,6907470
1998481,3651767
2035233,4622511
2098220,6904035
2112372,7142193
2190692,6163362
2192433,4549606
2244182,7265709
2531449,6981495
2570461,6143068
2579765,5462023
2594941,4827650
2683110,4063505
2685280,1954735
2714577,5049205
2722911,7265712
2902305,4658833
2933284,2944981
3023668,4226110
3080300,4481843
3080312,5548455
3135523,3016893
3143964,5520106
