HostHaloID,LastClus
7043844,1561636
966153,1827559
7357409,1847383
7281718,1954735
4183551,1983863
662323,2002628
3587773,2013898
2168918,2071135
2383170,2199507
2017413,2227715
2569989,2246014
7355516,2290169
2279563,2290206
1399899,2507502
7338450,2592446
1688837,2623756
3464010,2734822
2140072,2885792
3573390,2892837
1821046,2944981
2808353,2937863
3302275,3016893
2156573,3069850
1748886,3094112
2486408,3178107
3835700,3200641
3050749,3259117
3218257,3284456
5008282,3355500
4274390,3359016
2545434,3540174
4634754,3651767
3445607,3672299
1358746,3689051
3803893,3700933
4041686,3744183
3418665,3780410
4064270,3748260
2875334,3811219
2643596,3882383
6462319,3889787
5381193,3929760
2845066,3929767
2356120,3929805
3665988,3933724
4146391,3945090
5286091,4040811
3723856,4063505
3221040,4068321
7409736,4081915
5585996,4083100
3206381,4147752
4169687,4195553
2983211,4226110
3688880,4289749
4287541,4309863
4078006,4328263
3381496,4415004
4429492,4465008
2022850,4465020
4953007,4481843
6373503,4477204
4694337,4481851
5954303,4549606
3664755,4560890
6121826,4617549
4051443,4622511
3252774,4658833
6279804,4658856
4929167,4714730
2761962,4827650
4136477,4838809
4389363,4899516
3942644,4901245
6147766,4921745
3885439,4966761
3743357,4968706
1812734,5011121
5262814,5028157
5274893,5033760
4429470,5044774
3955607,5049205
5319736,5208836
7082187,5259095
5284261,5265012
5602782,5332403
5711047,5358495
5185301,5375604
4548045,5409575
6634620,5462023
3896891,5493185
5295683,5520106
3138164,5548455
5021743,5573913
7206761,5634590
5967673,5638753
4963786,5699819
4560994,5715147
3771738,5753402
4673296,5816171
6030331,5871163
2480854,5884858
6394543,5957816
5711025,5960768
607612,5979633
5641235,6143068
4935345,6163362
6970555,6234554
4667330,6296509
7018353,6300154
5473624,6300164
4745457,6324375
6608820,6348998
7155582,6379898
6896210,6432794
6624103,6490130
5107046,6515835
5311703,6550004
5616148,6702203
6831855,6619898
6134513,6732705
5437500,6898337
6740239,6904035
7154289,6907470
6698608,6919328
4629489,6921386
7032649,6955851
6087531,6957056
7106445,6975241
7101108,6981495
6055002,7033920
6205198,7050142
1452889,7045189
7144333,7055776
7135031,7076724
7169667,7098679
4166891,7132535
7307608,7142193
1822153,7156868
2013291,7157633
7147451,7179669
7357264,7218678
6587936,7231399
6802985,7241208
6723280,7255539
4474750,7256231
7023890,7257320
7381805,7265673
7002328,7265674
7357973,7265676
5965182,7265677
763417,7265678
1309667,7265682
6702206,7265679
6409003,7265685
7409725,7265688
5828227,7265686
7116090,7265692
6702400,7265693
7409734,7265698
7409720,7265700
7409728,7265701
7204662,7265702
2072199,7265708
7409729,7265709
4631102,7265710
6620533,7265711
5037041,7265712
7201122,7265713
