HostHaloID,LastClus
369990,2227715
409987,3929760
510263,5957816
518933,7218678
595741,2013898
636872,5979633
721346,5028157
742626,7265677
778698,4921745
829553,7265673
875841,5634590
980479,2002628
1014134,7179669
1091428,4481851
1116163,2246014
1153428,7265710
1172179,4901245
1177877,3945090
1396014,7033920
1410701,6324375
1491376,3672299
1510170,7265682
1514035,5548455
1591898,7265698
1595742,5332403
1602101,3744183
1614160,1847383
1642498,5033760
1720784,1827559
1833372,6975241
1950630,3178107
2011879,3748260
2200111,5358495
2203180,4899516
2203668,4083100
2258631,7265678
2303208,2592446
2372910,7098679
2389565,4968706
2419217,3889787
2501408,1664541
2505290,7265700
2519542,4068321
2578491,2071135
2594522,6234554
2599656,2507502
2628835,3359016
2632432,6702203
2649169,6898337
2663128,6957056
2664873,7055776
2849434,7265685
2994749,5044774
3008222,3689051
3085829,4147752
3138328,7265713
3282478,3651767
3318485,3094112
3419960,7265702
3430279,3226680
3437988,4081915
3521229,5960768
3527546,6348998
3560099,6732705
3596654,6515835
3711219,4465008
3717542,3811219
3729616,7265674
3731544,2937863
3746216,4560890
3853863,5493185
3952777,6955851
3965671,4549606
3978507,7265693
4034384,7265692
4165482,7050142
4170490,7132535
4185545,5265012
4206519,4622511
4254023,1808858
4288399,4195553
4311881,7265688
4337964,5011121
4424938,7241208
4510627,6904035
4554862,6907470
4570188,7255539
4666453,7142193
4673784,7265709
4704122,3284456
4734788,4617549
4745138,3929805
4835868,3933724
4864083,6921386
4868676,7231399
4874281,2199507
4879329,4714730
4889679,6919328
4951874,4309863
5033693,6550004
5055724,7257320
5157889,6619898
5252769,6300154
5290696,6163362
5390409,4477204
5442192,7265711
5460176,3540174
5486035,6300164
5686243,3700933
5696714,6143068
5818021,2734822
5863316,5462023
5958096,2885792
5990970,5049205
5998917,4063505
6011060,3200641
6022472,7265708
6030276,3882383
6053983,5259095
6079764,7265712
6161891,7045189
6193820,5409575
6221718,4966761
6248279,3069850
6278531,7256231
6305359,6981495
6336127,6490130
6384460,4658856
6412336,2290169
6439243,2623756
6449812,7265701
6487517,7076724
6512956,5884858
6575376,4289749
6603691,4481843
6611061,5573913
6681321,1954735
6728849,4827650
6728899,2290206
6731243,3259117
6732472,7157633
6802608,2944981
6832933,1983863
6875395,5208836
6928188,5753402
6937859,7156868
6950404,4658833
7011909,4415004
7022673,5871163
7027907,5699819
7044785,4226110
7051629,4465020
7141028,7265686
7177405,5638753
7183372,4328263
7188673,5375604
7225369,3016893
7227479,6432794
7237940,5520106
