HostHaloID,LastClus
661741,2002628
778904,7265678
784485,5979633
964896,1827559
993829,7265702
1048677,1581385
1252317,3689051
1255663,1664541
1325842,7265682
1411285,2507502
1440632,7045189
1470618,7156868
1575861,7265708
1662293,2623756
1726848,3094112
1733499,5011121
1784748,4465020
1950709,3178107
1977236,2944981
2028023,2227715
2037468,3069850
2056694,2885792
2172462,2071135
2200693,3929805
2212683,7157633
2236340,2290206
2302443,2199507
2551771,3540174
2560913,5884858
2566178,2246014
2626219,3882383
2674744,3929767
2810173,3811219
2826596,2937863
2925043,4226110
2938925,5548455
2940912,4827650
2987090,4147752
2990431,3016893
2990515,3259117
3050297,4658833
3052365,4068321
3255399,4415004
3255451,3672299
3437088,3780410
3440313,3284456
3496157,3933724
3508057,4560890
3575172,4309863
3581170,4968706
3582093,2892837
3599719,4289749
3613804,2013898
3616612,5753402
3646247,3200641
3769359,2734822
3792173,4901245
3797121,3748260
3817027,3700933
3844579,5049205
3871198,5493185
3928055,4966761
3993416,4063505
4052372,4838809
4058456,3744183
4110481,3651767
4121939,3945090
4161413,4195553
4161922,7132535
4248178,7256231
4274996,4328263
4281288,4622511
4338255,5409575
4415453,4465008
4429445,3359016
4460375,4899516
4545591,7265712
4551389,4481851
4580671,5715147
4590737,5044774
4593096,7265710
4595587,1808858
4596927,1983863
4655310,6921386
4715055,6296509
4808244,5375604
4837831,6324375
4875593,4481843
4955138,6163362
4961686,4714730
5016566,3355500
5032752,6515835
5062691,5573913
5168737,6550004
5235127,5028157
5242219,5699819
5294668,5265012
5307750,6300164
5311587,5520106
5429601,3929760
5478373,5332403
5487414,6898337
5503917,4040811
5527381,5033760
5637280,6143068
5680887,7265686
5684320,5358495
5744756,5960768
5774151,6702203
5785088,4083100
5821124,5208836
5948566,7050142
6034890,6348998
6037987,4477204
6048367,5871163
6088136,5462023
6103175,5638753
6125943,6732705
6134753,7033920
6156880,4549606
6250022,7265677
6347069,4921745
6412812,5957816
6419207,4617549
6430975,7265685
6464588,7265711
6496707,3889787
6507389,4658856
6643076,6957056
6702356,7265693
6705731,6919328
6763632,7265679
6789127,6904035
6871748,7231399
6885511,6619898
6892624,6490130
6916401,6907470
7047494,7257320
7051705,7255539
7061034,7265674
7077306,7241208
7100318,1561636
7105601,6955851
7130999,6234554
7148285,6975241
7151415,5259095
7155512,7076724
7169112,6981495
7185829,6300154
7194132,6379898
7206540,7055776
7223431,6432794
7225122,5634590
7227280,7098679
7232969,7265713
7239831,7142193
7242246,7265692
7331514,7179669
7334709,1954735
7341294,2592446
7379198,2290169
7387995,7265709
7392249,7218678
7414792,7265676
7431452,1847383
7456829,7265673
7476295,7265688
7476297,7265700
7476305,7265701
7476307,7265698
7476310,4081915
