HostHaloID,LastClus
568394,7265678
670880,2002628
1013223,1827559
1133174,7265682
1363247,3689051
1384065,2507502
1651950,7045189
1657528,2623756
1723969,3094112
1779214,7157633
1816886,7156868
1918724,3178107
1948318,2944981
1976695,5011121
2008132,2227715
2028778,7265708
2076625,4465020
2165065,2071135
2183115,2885792
2264755,2290206
2371434,2199507
2382091,3929805
2408589,3069850
2554115,3540174
2566624,2246014
2567167,5884858
2649346,3882383
2789502,2937863
2847815,3929767
2876733,4226110
2902913,4827650
3020021,3259117
3199717,4147752
3201636,4068321
3207625,3672299
3218557,4658833
3231423,3811219
3237488,3284456
3258729,3016893
3373270,4415004
3417740,3780410
3444598,2734822
3566020,2892837
3575376,2013898
3615064,3200641
3641530,4560890
3664749,4289749
3707109,4966761
3752665,4968706
3780703,5753402
3821801,3700933
3877774,5049205
3879928,5493185
4009481,3744183
4045365,4328263
4055746,3933724
4057935,3748260
4071687,3945090
4079955,4901245
4095438,4622511
4162399,4063505
4176758,1808858
4189306,1983863
4216029,4838809
4234663,4309863
4247603,3359016
4247605,7132535
4376726,4899516
4378302,5044774
4497137,4481851
4516872,4195553
4540763,5715147
4544920,7256231
4545353,5409575
4553578,4465008
4635146,7265710
4635157,6921386
4670490,5816171
4712230,3651767
4732324,6324375
4870887,6296509
4901334,6163362
4935521,5375604
4993087,5573913
5005451,5699819
5018090,3355500
5038463,4481843
5071590,5548455
5090015,6515835
5109813,4714730
5136727,7265712
5226064,5265012
5250025,5520106
5274086,4040811
5274449,5033760
5290559,6550004
5364307,3929760
5443348,6898337
5455453,6300164
5462162,5208836
5538658,6702203
5542774,5358495
5578263,5332403
5633508,4083100
5799751,5960768
5816261,7265686
5879786,6143068
5956646,4549606
5986720,5638753
6031285,5871163
6058570,7033920
6113310,4617549
6116501,4921745
6159089,6957056
6174841,6732705
6197904,7050142
6265745,4658856
6329407,4477204
6373407,7265677
6373438,5957816
6393798,3889787
6396868,6348998
6396878,7265685
6479369,5028157
6667634,7231399
6678659,7265679
6684277,7265693
6696911,7255539
6765605,7241208
6766626,6490130
6803584,6619898
6843166,6919328
6858217,5462023
6945788,6234554
6981188,7265674
6990499,7257320
6996015,6300154
7011316,6955851
7024438,1561636
7029839,6907470
7041540,6432794
7046027,6904035
7065718,5259095
7078314,7265713
7078948,6981495
7080866,5979633
7104109,6975241
7127065,7055776
7132953,7076724
7148791,6379898
7154499,7098679
7157070,7265692
7165330,5634590
7168999,7179669
7244602,7265711
7262111,1954735
7265602,7142193
7312310,7265702
7313084,2290169
7320055,1847383
7320924,2592446
7333585,7218678
7346516,7265676
7365715,7265673
7389125,7265700
7389130,7265688
7389133,7265701
7389140,4081915
7389141,7265698
7389143,7265709
