HostHaloID,LastClus
295484,4328263
352977,7265673
509382,7156868
515879,3929760
530636,4481851
565321,4901245
606166,7033920
682988,7265710
716788,3945090
734219,6324375
747658,5548455
749901,3672299
766277,7179669
793790,2246014
903356,7265698
991778,1847383
1016112,5634590
1016510,5033760
1024822,3744183
1153731,5332403
1185582,3178107
1229196,1664541
1235148,3748260
1270785,2592446
1274773,3889787
1301479,6975241
1319190,4968706
1423949,7265713
1429542,6702203
1484665,5358495
1490621,6898337
1494691,7055776
1553970,4068321
1558516,6234554
1592003,7098679
1598767,2071135
1617266,6957056
1735996,3359016
1892027,4147752
1917731,6515835
1970386,4081915
2006257,5044774
2025998,6348998
2104002,4465008
2147728,4560890
2157273,7265692
2164896,5960768
2171584,6732705
2226633,7265674
2296325,7265693
2382966,5493185
2413156,3811219
2440857,2937863
2450630,3651767
2509048,4195553
2545533,5265012
2548898,7050142
2553551,5011121
2586869,7132535
2673771,7241208
2714245,4622511
2777925,3929805
2784934,7265688
2798263,6907470
2840965,6921386
2857391,6904035
2879960,4549606
2958928,7142193
2978375,4714730
3023852,4617549
3107175,6550004
3111076,6163362
3128035,7231399
3128637,7257320
3235067,6300154
3289277,3882383
3327232,3540174
3396532,4827650
3451865,4477204
3502645,6619898
3517978,3700933
3547311,2734822
3583993,7265709
3585364,5884858
3599331,7256231
3606201,6143068
3631068,7045189
3634926,2290169
3668320,5409575
3682913,5049205
3699589,7265708
3734850,6981495
3769936,5462023
3794464,7265712
3802327,7265701
3815681,4966761
3817124,4063505
3834016,2885792
3916554,6432794
3950627,3200641
3953295,5573913
3960270,2623756
4004948,5259095
4094389,1954735
4131078,4658833
4184937,2944981
4199044,1983863
4213418,5208836
4255708,5753402
4261111,4415004
4286542,4226110
4309235,5028157
4313606,5871163
4314324,5699819
4361416,4481843
4413394,5638753
4435054,3016893
4446548,5520106
