HostHaloID,LastClus
392433,3929760
538370,5375604
623914,5979633
713688,7265677
751891,2013898
779704,7265673
786615,5957816
857456,4481851
861335,5634590
947880,7156868
986090,4921745
1027927,7179669
1049524,2246014
1145222,4901245
1157474,3945090
1324870,6324375
1359274,7265710
1403663,3672299
1451473,5548455
1453258,7033920
1482181,7265682
1517648,7265698
1568499,1847383
1605744,5033760
1654786,3744183
1694511,1827559
1711989,4899516
1715979,5332403
1837797,3889787
1853073,6975241
1910795,3178107
1935078,3748260
2086137,4968706
2164927,5358495
2219854,7265678
2278361,2592446
2347706,7098679
2374318,6898337
2379481,4083100
2400968,7055776
2459762,4068321
2464331,7265700
2520347,2071135
2527444,6234554
2551003,2507502
2572775,3359016
2577019,6702203
2609791,6957056
2753007,7265713
2798261,7265685
2921823,5044774
3035490,3689051
3044809,4147752
3140848,4081915
3218798,3651767
3256551,3094112
3279558,6515835
3421508,4560890
3423436,7265674
3460481,6348998
3488780,6732705
3578557,7265702
3621333,3226680
3638566,4465008
3647134,3811219
3660051,2937863
3697233,5960768
3781213,5493185
3876680,6955851
3908797,7265693
3929595,7265692
4037920,4549606
4081217,5265012
4090441,7050142
4128647,4622511
4170649,1808858
4204852,4195553
4220601,7265688
4230082,6907470
4241692,5011121
4267092,6921386
4286692,7241208
4339402,7132535
4481632,7255539
4502663,7265709
4522623,7142193
4616035,3284456
4638175,4617549
4643217,6904035
4736455,6919328
4766706,3933724
4789095,2199507
4855419,4309863
4862985,3929805
4943501,4714730
4970771,6550004
4997093,7257320
5013947,7231399
5061642,6619898
5163533,6300154
5213089,6163362
5387406,6143068
5391850,6300164
5548496,3700933
5565083,4477204
5578360,3540174
5637611,7265711
5639335,5462023
5709338,2734822
5858569,5409575
5886341,5049205
5910345,3069850
5912486,4827650
5917764,3882383
5917780,7265708
5977116,5259095
5984401,7265712
6043469,7045189
6100094,2290169
6100170,4063505
6147836,2885792
6165840,6981495
6217157,6490130
6240006,4658856
6314257,7265701
6338150,2623756
6340120,3200641
6381259,7256231
6414258,4289749
6497021,4481843
6500552,5573913
6500579,1954735
6570484,5884858
6579006,7076724
6603217,2290206
6609803,3259117
6614266,7157633
6666754,2944981
6708224,1983863
6713998,5208836
6797093,5753402
6804361,4415004
6824187,4658833
6876778,5028157
6892877,5871163
6894401,5699819
6908248,4226110
6916493,4465020
6932665,4966761
7012447,7265686
7044921,5638753
7056720,4328263
7099577,6432794
7099585,3016893
7108048,5520106
