HostHaloID,LastClus
601771,2013898
612635,3929760
669997,7156868
684751,5028157
744886,5957816
747725,7265673
815316,5979633
828160,4481851
963205,4921745
1019258,7179669
1097452,5634590
1151715,4901245
1220982,3945090
1252404,2246014
1313306,7265710
1353603,3672299
1415933,7033920
1442182,6324375
1452380,7265682
1537794,7265698
1589604,5033760
1637262,3744183
1693901,4899516
1703107,5548455
1791549,5332403
1801692,6975241
1817820,3889787
1859449,3178107
1891281,3748260
2053909,4968706
2127921,5358495
2186600,7265678
2228738,1664541
2246933,2592446
2304685,7098679
2309391,6702203
2320323,4083100
2355673,7055776
2392048,7265700
2410322,4068321
2475691,6234554
2489270,2071135
2576760,6898337
2577829,6296509
2622818,6957056
2657529,3689051
2723884,7265685
2725970,7265713
2739619,3359016
2898077,5044774
2991544,4147752
3072756,4465008
3176250,3094112
3272912,6515835
3294324,4081915
3345737,6955851
3361163,3651767
3380781,7265692
3386853,4560890
3431270,7265702
3437220,6732705
3498107,3226680
3552049,3811219
3570508,7265674
3575007,2937863
3588660,6348998
3639992,5960768
3712389,5493185
3874001,7265693
3998202,7050142
4013037,4549606
4014882,5011121
4041875,7132535
4140264,7265688
4172989,4195553
4178439,7241208
4202319,5265012
4222481,6921386
4281583,4622511
4370025,7255539
4372560,6907470
4387762,3933724
4476518,7142193
4508826,3284456
4550276,4617549
4550598,3929805
4551058,6904035
4636060,7231399
4646579,6919328
4657033,2199507
4664840,7265709
4683456,7265711
4734643,4309863
4834410,6550004
4881952,4714730
4931120,4477204
5036440,6300154
5093352,6163362
5171934,6619898
5257191,6143068
5270555,6300164
5435603,3700933
5436467,3540174
5477829,5462023
5575521,2734822
5726261,5409575
5754007,3069850
5759267,4063505
5763995,7265708
5781684,3882383
5792897,4658856
5804240,5259095
5822645,4827650
5825446,6981495
5881478,7045189
5928986,2290169
5932477,5049205
5950570,7265712
6070574,6490130
6139392,7256231
6146036,7265701
6190722,2623756
6214909,2885792
6264724,4289749
6267897,5884858
6321285,3016893
6335065,5573913
6402182,1954735
6419882,3200641
6424114,7076724
6447621,3259117
6451781,7157633
6545721,1983863
6556242,5208836
6557433,2944981
6624997,5753402
6637842,4415004
6691995,4658833
6701332,1847383
6729070,5871163
6736064,5699819
6746735,4465020
6766914,4226110
6767219,4966761
6792481,7218678
6813412,4481843
6840955,7265686
6879681,5638753
6887052,4328263
6930017,6432794
6930020,5520106
