HostHaloID,LastClus
777856,4481851
853177,7265682
1157731,3284456
1212405,5033760
1264987,1664541
1334082,4921745
1356023,3748260
1415670,3200641
1421781,5520106
1457008,5265012
1477548,5409575
1554228,7265685
1565427,1954735
1703559,3882383
1845104,4068321
1885434,2623756
1991785,2013898
2030800,5960768
2039778,5011121
2204101,5957816
2278042,2734822
2331419,3178107
2381367,4415004
2411963,3069850
2441300,6702203
2451858,3094112
2580574,4477204
2618012,2290169
2658075,4481843
2679559,5208836
2869975,5028157
2890862,5715147
2924847,2592446
2929049,4658856
2975678,5573913
3004209,3929805
3245253,6919328
3250363,4147752
3250396,5816171
3313655,2227715
3324287,7265688
3349283,6907470
3385160,3945090
3466746,4040811
3472782,5634590
3504102,4622511
3665907,6300154
3701556,3889787
3757267,6550004
3764931,6981495
3818657,4658833
3825172,7076724
3853513,6143068
3857838,7045189
3914557,2002628
3916394,4968706
3948155,4549606
3995934,6432794
4024363,3700933
4116762,7050142
4159671,7265700
4244872,6957056
4270115,5548455
4286819,6904035
4313651,6898337
4370902,5753402
4388513,3672299
4415290,1827559
4478814,7265702
4538628,4289749
4562835,7257320
4577228,5332403
4627940,2199507
4630911,7055776
4657741,4226110
4666943,7265698
4751962,2071135
4816636,5462023
4873935,7033920
4915852,4328263
5007250,4827650
5063340,7265678
5119199,4465008
5202749,3929760
5261611,3016893
5315600,2937863
5440883,7265676
5499722,3811219
5509815,7231399
5513353,4617549
5519872,2944981
5572895,2892837
5657445,7265679
5720006,1847383
5723484,7157633
5839624,5259095
5851207,5375604
5904084,5699819
5936102,2885792
5999680,7265711
6054781,5493185
6056897,6163362
6091514,6975241
6115147,7265686
6118698,3355500
6173345,7265677
6270219,5871163
6325211,2290206
6337322,4083100
6380842,7256231
6454843,3933724
6542103,5358495
6550098,5044774
6594973,7265692
6608881,6515835
6675885,4195553
6700326,6300164
6713055,5979633
6732470,4465020
6737055,5049205
6797779,6732705
6822460,5884858
6859812,7142193
6875436,4901245
6920493,6619898
6930871,3259117
7015199,7218678
7018788,7265673
7074543,4838809
7155157,7265701
7156018,4966761
7167658,3540174
7182624,4714730
7206135,3359016
7228133,4899516
7235630,3226680
7269748,3689051
7286902,6955851
7287206,6379898
7294540,1808858
7302936,1983863
7319486,3929767
7351580,3651767
7361363,7156868
7378460,6324375
7380823,7098679
7387921,2246014
7415998,3744183
7435962,2507502
7445579,4309863
7446826,4560890
7447782,6490130
7464776,7265674
7471350,6234554
7471788,7241208
7491473,7255539
7501176,6296509
7501185,7265693
7501186,5638753
7501187,7179669
7501188,7265713
7501190,6921386
7501191,4063505
7501192,6348998
7501198,7265712
7501200,4081915
7501201,7132535
7501202,7265710
7501206,7265709
