HostHaloID,LastClus
1014294,2002628
1090751,1954735
1310197,7265682
1323297,7045189
1396792,1827559
1592404,2507502
1743273,3689051
1783731,2623756
2093413,7156868
2209937,2071135
2247799,2227715
2327111,2944981
2458243,2199507
2518199,3094112
2689790,2290206
2752515,2885792
2888214,7157633
2904520,3069850
3026485,3540174
3035559,2937863
3053257,2734822
3109897,2246014
3178086,3259117
3217871,4465020
3299710,3929805
3299716,2013898
3393065,3882383
3400573,3178107
3544364,3016893
3544413,3284456
3549432,3226680
3606235,3811219
3713841,3672299
3785789,1808858
3805060,4658833
3819456,4068321
3830853,3929767
3832699,4147752
3838604,2892837
3932310,4827650
3945267,1983863
3956648,4063505
3971831,4415004
4056130,3748260
4075885,4226110
4080748,4560890
4154941,3200641
4191303,3744183
4248697,4622511
4323763,3700933
4339839,4289749
4446012,3359016
4497144,4309863
4550961,4968706
4570534,4328263
4703375,4966761
4725381,4195553
4749386,5493185
4772759,4899516
4801711,5049205
4855809,3945090
4880499,3651767
4884106,3933724
4910874,5548455
5139762,4901245
5168320,7265712
5168820,3355500
5185098,4040811
5270322,3929760
5289593,5044774
5304061,4083100
5360750,7132535
5387958,4465008
5392028,4481843
5429367,5358495
5455268,4838809
5496540,5208836
5509173,6324375
5525855,5816171
5543281,4481851
5555433,5573913
5601188,5375604
5604507,7256231
5634307,7265710
5645034,5033760
5724162,5409575
5741121,6163362
5768048,5753402
5881744,4714730
5911631,5715147
5913368,5520106
6025736,6296509
6037150,5265012
6049466,4477204
6154946,6300164
6205647,4549606
6232453,4658856
6277323,6515835
6297330,4921745
6306088,5699819
6345808,6143068
6383722,4617549
6396860,5871163
6398883,6702203
6400147,6550004
6447596,5957816
6485178,7033920
6511803,5884858
6592977,5028157
6658307,6957056
6683138,5462023
6689664,5960768
6722492,5638753
6803344,6898337
6858332,6348998
6891511,6732705
6918516,5259095
7005335,6921386
7075978,7265686
7169013,5332403
7226669,7231399
7245793,6619898
7264381,6904035
7264384,3889787
7302682,7265677
7340614,7265685
7345663,6234554
7407673,7050142
7426661,6490130
7463871,6300154
7596723,6432794
7608034,7241208
7609850,5634590
7621335,5979633
7642720,6919328
7679120,7265693
7726320,1561636
7734530,6975241
7756070,7055776
7804196,6981495
7832488,7076724
7838465,6379898
7872073,7098679
7923140,7179669
7937284,7255539
8000652,7265674
8008536,1847383
8009130,7265702
8017114,7142193
8020404,7218678
8031436,6907470
8038661,7265678
8038667,7257320
8038670,7265713
8038677,2290169
8038679,7265688
8038686,7265692
8038687,7265676
8038689,7265679
8038690,7265673
8038694,6955851
8038696,7265711
8038697,2592446
8038698,5011121
8038700,7265700
8038701,7265698
8038702,4081915
8038707,7265701
8038709,7265709
