HostHaloID,LastClus
390049,2013898
394722,3929760
405452,5979633
428332,4481851
454676,6324375
501166,7265678
572719,3744183
653642,5634590
685590,7265700
735889,4921745
783856,7179669
842379,2246014
921201,1664541
976059,4968706
985182,2071135
1018184,7265685
1025585,3178107
1047040,6898337
1086963,7265710
1218790,2507502
1432381,6234554
1498546,7265682
1505272,6957056
1527432,5332403
1599017,3889787
1603932,5044774
1644595,2592446
1663584,3651767
1696980,6348998
1713423,4899516
1740752,3748260
1810503,4068321
1814451,4465008
1831327,4081915
1867185,6975241
1901242,6955851
1902727,7265674
1904645,7098679
1962966,4083100
1964127,5358495
1980437,7055776
2066137,3226680
2067046,3811219
2168479,4147752
2356121,7265693
2393892,6732705
2477828,5493185
2556952,7265713
2586069,4560890
2586134,3359016
2590002,6702203
2671450,6515835
2751891,5265012
2848801,3094112
2859148,7265692
2918570,7265688
2928998,6907470
3007628,7050142
3017864,2937863
3042581,7132535
3135719,5011121
3156599,7265709
3180651,7241208
3191550,3933724
3234760,7265702
3274313,4622511
3379160,7255539
3464720,7257320
3510022,5960768
3532503,4195553
3556304,3929805
3657474,6300154
3691289,2199507
3832712,4549606
3840191,7265711
3944386,6143068
3958166,6904035
3999186,4309863
4065423,6921386
4081807,6550004
4107759,7231399
4135245,7265708
4185321,3284456
4209887,4617549
4212326,3540174
4280841,5409575
4301065,4063505
4324619,7142193
4343679,3882383
4611097,4827650
4674337,6490130
4766534,6919328
4805283,5049205
4807685,6163362
4860348,6619898
4942056,3016893
4950384,4714730
4970899,6300164
5132048,4481843
5136216,5573913
5235269,3069850
5250065,3200641
5262005,2734822
5295791,3700933
5314991,2885792
5328637,6432794
5330062,5462023
5437776,2623756
5459659,5638753
5502375,5520106
5502404,5259095
5575423,7045189
5589447,4477204
5627003,5699819
5634073,2290169
5650117,1954735
5713441,4966761
5713835,7265686
5721288,5884858
5724650,6981495
5762029,7265712
5770817,4289749
6004062,4658856
6064122,5375604
6073354,4328263
6075077,7265701
6197585,4658833
6198782,4465020
6270711,7256231
6336099,5871163
6354192,7265677
6400832,1983863
6439860,4226110
6524788,7265673
6528946,5957816
6568910,7076724
6596711,2290206
6600967,3259117
6602805,7157633
6656712,2944981
6705566,5208836
6775749,1827559
6788725,4415004
6792598,5753402
6795611,7156868
6843299,1847383
6861348,7033920
6862761,5028157
6967579,5548455
6980719,5033760
6986072,4901245
6999448,7265698
7088298,3945090
7093171,3672299
