HostHaloID,LastClus
271326,4328263
298383,7265673
508663,4901245
511748,3929760
548687,7156868
552973,7033920
617106,4481851
638689,7265710
672742,3945090
710440,5548455
735175,2246014
787852,5634590
905365,1847383
923171,5033760
924768,4968706
947998,3744183
950195,7265698
1077043,5332403
1163152,1664541
1180882,3889787
1192847,2592446
1201770,6975241
1256847,3748260
1273747,7265713
1388117,4899516
1421179,4068321
1432062,6234554
1468237,7098679
1478994,2071135
1489234,6957056
1509337,6898337
1512380,5358495
1521884,7055776
1756935,4147752
1818294,4465008
1828511,5044774
1831779,4081915
1911025,6515835
1987504,7265692
1994521,4560890
2001334,6348998
2016778,6732705
2119242,7265693
2159346,5960768
2210227,3811219
2231511,5265012
2246799,7050142
2265579,2937863
2355854,5011121
2389919,7132535
2437379,7265688
2458847,4195553
2468778,3651767
2475385,7241208
2575466,3929805
2618295,7265709
2632341,6921386
2646461,6904035
2649777,4622511
2678175,1808858
2679272,4549606
2689491,7142193
2763008,6907470
2840598,6163362
2912239,3882383
2934560,4714730
2991573,3540174
3025448,7231399
3180491,5884858
3188152,4477204
3190326,3700933
3197158,6619898
3330531,6981495
3357492,7045189
3378769,7256231
3380472,2290169
3381945,6143068
3396433,5462023
3398650,5049205
3402520,5409575
3430923,2734822
3449851,7265701
3530479,4827650
3541731,4063505
3550821,2885792
3606022,7265712
3631769,1954735
3656473,5573913
3685386,6432794
3704244,5259095
3780673,3200641
3805586,5753402
3806263,2623756
3859956,2944981
3962364,4658833
3985551,4226110
3995911,5699819
3996983,5871163
4008769,5028157
4043573,4481843
4092303,5638753
4113928,3016893
4122762,5520106
